"ROWNUM","name","adress","okrug","rayon","form_of_incorporation","submission","tip_uchrezhdeniya","vid_uchrezhdeniya","telephone","web_site","e_mail","X","Y","global_id"
"77","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский радиотехнический колледж имени А.А.Расплетина"","123022 г. Москва, ул. Большая Декабрьская, дом 5","Центральный административный округ","Пресненский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499)252-11-84 ,(499) 252-11-84",,"mrtc@mail.ru","37,558469","55,765359","86930741"
"78","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский автомобильно-дорожный колледж им. А.А. Николаева"","105082, г. Москва, ул. Бакунинская, д. 81/55","Центральный административный округ","Басманный район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499)265-37-44",,"87@prof.educom.ru","37,694314","55,7812","86930742"
"79","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж градостроительства и предпринимательства"","129336, г. Москва, Анадырский проезд, д. 79, стр.1-2","Северо-Восточный административный округ","Лосиноостровский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 188-62-10",,"89@prof.educom.ru","37,713308","55,884094","86930743"
"80","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский издательско-полиграфический колледж имени Ивана Федорова"","129337, г. Москва, Ярославское шоссе, д. 5","Северо-Восточный административный округ","Ярославский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 188-21-47",,"mipk@rambler.ru","37,677943","55,852897","86930744"
"81","Гсударственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж профессиональных технологий"","109382, г. Москва, ул. Люблинская д. 56/2","Юго-Восточный административный округ","район Люблино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495)351-39-12",,"mkpt-spo@mail.ru","37,738354","55,676394","86930745"
"82","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы «Московский техникум информатики и вычислительной техники»","123154, г. Москва, улица Народного Ополчения, дом 31","Северо-Западный административный округ","район Хорошёво-Мнёвники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499)197-18-66,(499) 197 - 18 - 66",,"92@prof.educom.ru","37,48085","55,784815","86930746"
"83","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский государственный колледж электромеханики и информационных технологий"","115446, г. Москва, ул. Академика Миллионщикова, 20","Южный административный округ","район Нагатино-Садовники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499)612-15-97 ,(499) 612-15-97",,"88@prof.educom.ru","37,644434","55,666183","86930748"
"84","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж авиационного моторостроения"","105118, г. Москва, проспект Буденного, д. 18","Восточный административный округ","район Соколиная Гора","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499)785-89-25,(499) 785 8925",,"mkam-spo@mail.ru","37,727907","55,768345","86930749"
"85","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 28","109383, г. Москва, ул. Полбина, д. 72","Юго-Восточный административный округ","район Печатники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 673-54-22","k28.mskcollege.ru","28@prof.educom.ru","37,719819","55,742623","86930755"
"86","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 24","105484, г. Москва,  ул. 16-я Парковая,  д. 20","Восточный административный округ","район Измайлово","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 461-52-19","k24.mskcollege.ru/","24@prof.educom.ru","37,831163","55,804375","86930756"
"87","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Колледж предпринимательства №11","125438, г. Москва, ул. Онежская, дом 3","Северный административный округ","Головинский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 150-55-02",,"info@kp11.ru","37,501396","55,848777","86930757"
"88","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 8 имени дважды Героя Советского Союза И.Ф. Павлова","125284, г. Москва, 1-й Боткинский проезд, дом 7а","Северный административный округ","район Беговой","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 485-72-18; (495) 485-72-22",,"08@prof.educom.ru","37,522283","55,821552","86930922"
"89","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский технический колледж"","г. Москва, ул. Генерала Белова, д. 4","Южный административный округ","район Орехово-Борисово Северное","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499)235-46-82","mtk.mskcollege.ru/","86@prof.educom.ru","37,714966","55,623427","86930936"
"90","Государственное бюджетное образовательное учреждение города Москвы "Московское среднее специальное училище олимпийского резерва №2 (техникум)" Департамента физической культуры и спорта города Москвы",,"Западный административный округ","район Фили-Давыдково","Государственное","Департамент физической культуры и спорта","Образовательное учреждение среднего профессионального образования","Колледж","(499) 144-17-17",,"uor2@mossport.ru","37,456499","55,735856","86931235"
"91","Государственное бюджентное образовательное учреждение города Москвы "Московское среднее специальное училище олимпийского резерва №3 (техникум)" Департамента физической культуры и спорта города Москвы",,"Восточный административный округ","район Соколиная Гора","Государственное","Департамент физической культуры и спорта","Образовательное учреждение среднего профессионального образования","Колледж","(495) 369-09-11,(495) 369-28-26",,"uor3@mossport.ru","37,732396","55,786997","86931236"
"92","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Спортивно-педагогический колледж Департамента физической культуры и спорта города Москвы",,"Южный административный округ","район Чертаново Южное","Государственное","Департамент физической культуры и спорта","Образовательное учреждение среднего профессионального образования","Колледж","(495) 387-50-11",,"spk@mossport.ru","37,601841","55,601944","86931237"
"93","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж малого бизнеса № 4","115054 г. Москва, ул. Дубининская, д. 25, стр. 1","Центральный административный округ","район Замоскворечье","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 235-46-57","k04.mskcollege.ru","04@prof.educom.ru","37,695467","55,777017","87028632"
"94","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 10","127434, г. Москва, Дмитровское шоссе, д. 11 А","Северный административный округ","Тимирязевский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 488-33-00","k10.mskcollege.ru/","10@prof.educom.ru","37,552662","55,860323","87028633"
"95","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 10","127434, г. Москва, Дмитровское шоссе, д. 11 А","Северный административный округ","Тимирязевский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 488-33-00","k10.mskcollege.ru/","10@prof.educom.ru","37,49783","55,802315","87028634"
"96","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 10","127434, г. Москва, Дмитровское шоссе, д. 11 А","Северный административный округ","Тимирязевский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 488-33-00","k10.mskcollege.ru/","10@prof.educom.ru","37,572068","55,816428","87028635"
"97","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 10","127434, г. Москва, Дмитровское шоссе, д. 11 А","Северный административный округ","Тимирязевский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 488-33-00","k10.mskcollege.ru/","10@prof.educom.ru","37,535425","55,810522","87028636"
"98","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 10","127434, г. Москва, Дмитровское шоссе, д. 11 А","Северный административный округ","Тимирязевский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 488-33-00","k10.mskcollege.ru/","10@prof.educom.ru","37,536118","55,810583","87028637"
"99","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 12","129337 г. Москва. Хибинский проезд, д. 10","Северо-Восточный административный округ","Ярославский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 183-45-56; (499) 183-33-47; (499) 183-89-04; (499) 183-41-10; (499) 188-44-81",,"12@prof.educom.ru","37,578358","55,893532","87028638"
"100","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 12","129337 г. Москва. Хибинский проезд, д. 10","Северо-Восточный административный округ","Ярославский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 183-45-56; (499) 183-33-47; (499) 183-89-04; (499) 183-41-10; (499) 188-44-81",,"12@prof.educom.ru","37,580933","55,816976","87028639"
"101","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 12","129337 г. Москва. Хибинский проезд, д. 10","Северо-Восточный административный округ","Ярославский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 183-45-56; (499) 183-33-47; (499) 183-89-04; (499) 183-41-10; (499) 188-44-81",,"12@prof.educom.ru","37,70414","55,879152","87028640"
"102","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 12","129337 г. Москва. Хибинский проезд, д. 10","Северо-Восточный административный округ","Ярославский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 183-45-56; (499) 183-33-47; (499) 183-89-04; (499) 183-41-10; (499) 188-44-81",,"12@prof.educom.ru","37,68177","55,857424","87028641"
"103","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 12","129337 г. Москва. Хибинский проезд, д. 10","Северо-Восточный административный округ","Ярославский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 183-45-56; (499) 183-33-47; (499) 183-89-04; (499) 183-41-10; (499) 188-44-81",,"12@prof.educom.ru","37,680561","55,856452","87028642"
"104","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 12","129337 г. Москва. Хибинский проезд, д. 10","Северо-Восточный административный округ","Ярославский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 183-45-56; (499) 183-33-47; (499) 183-89-04; (499) 183-41-10; (499) 188-44-81",,"12@prof.educom.ru","37,663323","55,820405","87028643"
"105","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технологический Колледж №14","127282, г. Москва, ул. Тихомирова, д. 10, к. 1","Северо-Восточный административный округ","район Ростокино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","689-30-26",,"14@prof.educom.ru","37,651689","55,884891","87028644"
"106","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технологический Колледж №14","127282, г. Москва, ул. Тихомирова, д. 10, к. 1","Северо-Восточный административный округ","район Ростокино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","689-30-26",,"14@prof.educom.ru","37,627101","55,804363","87028645"
"107","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технологический Колледж №14","127282, г. Москва, ул. Тихомирова, д. 10, к. 1","Северо-Восточный административный округ","район Ростокино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","689-30-26",,"14@prof.educom.ru","37,649938","55,843514","87028646"
"108","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 41","121351 г. Москва ул. Бобруйская д. 7","Западный административный округ","район Кунцево","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","417-07-24","k41.mskcollege.ru/","41@prof.educom.ru","37,40808","55,639907","87028647"
"109","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 41","121351 г. Москва ул. Бобруйская д. 7","Западный административный округ","район Кунцево","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","417-07-24","k41.mskcollege.ru/","41@prof.educom.ru","37,444453","55,686968","87028648"
"110","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 41","121351 г. Москва ул. Бобруйская д. 7","Западный административный округ","район Кунцево","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","417-07-24","k41.mskcollege.ru/","41@prof.educom.ru","37,399498","55,736081","87028649"
"111","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Железнодорожный колледж № 52","129090 г. Москва, ул. Каланчевская, д. 26, стр. 1","Центральный административный округ","Красносельский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","680-34-21","k52.mskcollege.ru/","52@prof.educom.ru","37,647388","55,779178","87028650"
"112","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Железнодорожный колледж № 52","129090 г. Москва, ул. Каланчевская, д. 26, стр. 1","Центральный административный округ","Красносельский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","680-34-21","k52.mskcollege.ru/","52@prof.educom.ru","37,647591","55,778957","87028651"
"113","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Железнодорожный колледж № 52","129090 г. Москва, ул. Каланчевская, д. 26, стр. 1","Центральный административный округ","Красносельский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","680-34-21","k52.mskcollege.ru/","52@prof.educom.ru","37,72107","55,810086","87028652"
"114","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Железнодорожный колледж № 52","129090 г. Москва, ул. Каланчевская, д. 26, стр. 1","Центральный административный округ","Красносельский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","680-34-21","k52.mskcollege.ru/","52@prof.educom.ru","37,64797","55,778795","87028653"
"115","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Железнодорожный колледж № 52","129090 г. Москва, ул. Каланчевская, д. 26, стр. 1","Центральный административный округ","Красносельский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","680-34-21","k52.mskcollege.ru/","52@prof.educom.ru","37,828947","55,758032","87028654"
"116","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сервиса и туризма № 29","109052, г. Москва, ул. Нижегородская, д. 98","Юго-Восточный административный округ","Нижегородский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 678-30-64; (495) 911-46-41; (495) 670-01-51; (495) 670-65-78; (495) 678-43-67; (495) 678-61-54; (495) 678-69-14; (495) 678-45-82; (495) 670-65-79; (495) 678-43-19; (495) 670-74-01; (495) 678-69-28; (495) 911-46-36","k29.mskcollege.ru/","29@prof.educom.ru","37,56989","55,771658","87028708"
"117","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сервиса и туризма № 29","109052, г. Москва, ул. Нижегородская, д. 98","Юго-Восточный административный округ","Нижегородский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 678-30-64; (495) 911-46-41; (495) 670-01-51; (495) 670-65-78; (495) 678-43-67; (495) 678-61-54; (495) 678-69-14; (495) 678-45-82; (495) 670-65-79; (495) 678-43-19; (495) 670-74-01; (495) 678-69-28; (495) 911-46-36","k29.mskcollege.ru/","29@prof.educom.ru","37,793285","55,706104","87028709"
"118","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сервиса и туризма № 29","109052, г. Москва, ул. Нижегородская, д. 98","Юго-Восточный административный округ","Нижегородский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 678-30-64; (495) 911-46-41; (495) 670-01-51; (495) 670-65-78; (495) 678-43-67; (495) 678-61-54; (495) 678-69-14; (495) 678-45-82; (495) 670-65-79; (495) 678-43-19; (495) 670-74-01; (495) 678-69-28; (495) 911-46-36","k29.mskcollege.ru/","29@prof.educom.ru","37,754923","55,682088","87028710"
"119","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сервиса и туризма № 29","109052, г. Москва, ул. Нижегородская, д. 98","Юго-Восточный административный округ","Нижегородский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 678-30-64; (495) 911-46-41; (495) 670-01-51; (495) 670-65-78; (495) 678-43-67; (495) 678-61-54; (495) 678-69-14; (495) 678-45-82; (495) 670-65-79; (495) 678-43-19; (495) 670-74-01; (495) 678-69-28; (495) 911-46-36","k29.mskcollege.ru/","29@prof.educom.ru","37,680091","55,734616","87028711"
"120","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сервиса и туризма № 29","109052, г. Москва, ул. Нижегородская, д. 98","Юго-Восточный административный округ","Нижегородский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 678-30-64; (495) 911-46-41; (495) 670-01-51; (495) 670-65-78; (495) 678-43-67; (495) 678-61-54; (495) 678-69-14; (495) 678-45-82; (495) 670-65-79; (495) 678-43-19; (495) 670-74-01; (495) 678-69-28; (495) 911-46-36","k29.mskcollege.ru/","29@prof.educom.ru","37,753306","55,704981","87028712"
"121","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сервиса и туризма № 29","109052, г. Москва, ул. Нижегородская, д. 98","Юго-Восточный административный округ","Нижегородский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 678-30-64; (495) 911-46-41; (495) 670-01-51; (495) 670-65-78; (495) 678-43-67; (495) 678-61-54; (495) 678-69-14; (495) 678-45-82; (495) 670-65-79; (495) 678-43-19; (495) 670-74-01; (495) 678-69-28; (495) 911-46-36","k29.mskcollege.ru/","29@prof.educom.ru","37,723562","55,729761","87028713"
"122","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сервиса и туризма № 29","109052, г. Москва, ул. Нижегородская, д. 98","Юго-Восточный административный округ","Нижегородский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 678-30-64; (495) 911-46-41; (495) 670-01-51; (495) 670-65-78; (495) 678-43-67; (495) 678-61-54; (495) 678-69-14; (495) 678-45-82; (495) 670-65-79; (495) 678-43-19; (495) 670-74-01; (495) 678-69-28; (495) 911-46-36","k29.mskcollege.ru/","29@prof.educom.ru","37,710009","55,646792","87028714"
"123","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 46","123182, г. Москва, ул. Академика Бочвара, д. 2, корп. 2","Северо-Западный административный округ","район Щукино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","947-37-50","k46.mskcollege.ru/","46@prof.educom.ru","37,46121","55,807834","87028715"
"124","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 46","123182, г. Москва, ул. Академика Бочвара, д. 2, корп. 2","Северо-Западный административный округ","район Щукино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","947-37-50","k46.mskcollege.ru/","46@prof.educom.ru","37,460782","55,807522","87028716"
"125","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 46","123182, г. Москва, ул. Академика Бочвара, д. 2, корп. 2","Северо-Западный административный округ","район Щукино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","947-37-50","k46.mskcollege.ru/","46@prof.educom.ru","37,459137","55,789712","87028717"
"126","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 46","123182, г. Москва, ул. Академика Бочвара, д. 2, корп. 2","Северо-Западный административный округ","район Щукино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","947-37-50","k46.mskcollege.ru/","46@prof.educom.ru","37,470934","55,804529","87028718"
"127","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 3","109029 г. Москва, ул. Б.Калитниковская, д. 36, стр. 1","Центральный административный округ","Таганский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","670-50-81",,"03@prof.educom.ru","37,67666","55,727458","87028780"
"128","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 3","109029 г. Москва, ул. Б.Калитниковская, д. 36, стр. 1","Центральный административный округ","Таганский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","670-50-81",,"03@prof.educom.ru","37,685202","55,736662","87028781"
